SN2005ke 0.004900 53.768125 -24.944111
filter u
 776.58 17.161 0.036
 776.58 17.233 0.040
 789.51 17.563 0.029
 789.52 17.519 0.039
filter Ydw
 721.64 14.484 0.019
 721.65 14.520 0.018
 743.62 15.830 0.017
 750.65 16.200 0.018
 750.66 16.213 0.019
 756.65 16.477 0.019
 756.66 16.471 0.019
 773.60 17.119 0.021
 773.60 17.107 0.021
 784.53 17.441 0.025
 784.53 17.448 0.024
 786.53 17.528 0.022
filter J
 691.74 15.105 0.117
 691.74 15.105 0.075
 692.74 14.811 0.019
 692.75 14.811 0.016
 693.72 14.627 0.017
 693.72 14.609 0.017
 696.73 14.204 0.016
 696.73 14.221 0.016
 697.66 14.124 0.013
 697.66 14.119 0.011
 700.71 14.010 0.017
 700.71 14.022 0.014
 701.70 14.037 0.018
 701.70 14.048 0.015
 704.69 14.254 0.021
 704.70 14.243 0.018
 705.69 14.282 0.020
 705.70 14.263 0.019
 709.72 14.579 0.016
 709.72 14.625 0.017
 710.73 14.666 0.018
 710.74 14.651 0.019
 714.65 14.901 0.017
 714.65 14.881 0.017
 715.65 14.946 0.016
 715.66 14.978 0.016
 717.66 15.057 0.019
 717.67 15.097 0.020
 718.70 15.134 0.019
 718.71 15.129 0.019
 724.61 15.898 0.024
 724.62 15.781 0.022
 731.68 16.624 0.028
 731.68 16.575 0.026
 721.64 15.420 0.018
 721.65 15.436 0.017
 743.62 17.551 0.024
 743.62 17.534 0.021
 750.65 18.069 0.030
 750.66 18.101 0.029
 756.65 18.491 0.048
 756.66 18.520 0.036
 773.60 19.381 0.082
 773.60 19.367 0.086
 784.53 19.829 0.193
 784.53 19.634 0.144
 786.53 20.070 0.154
 786.55 19.610 0.082
filter H
 691.74 15.009 0.080
 691.74 14.922 0.062
 692.74 14.737 0.015
 692.75 14.737 0.018
 693.72 14.552 0.014
 693.72 14.551 0.014
 696.73 14.137 0.013
 696.73 14.163 0.014
 697.66 14.063 0.010
 697.66 14.039 0.012
 700.71 13.953 0.008
 700.71 13.968 0.011
 701.70 13.968 0.016
 701.70 13.959 0.014
 704.69 14.012 0.016
 704.70 13.970 0.013
 705.69 14.041 0.014
 705.70 14.050 0.017
 709.72 14.105 0.011
 709.72 14.091 0.013
 710.73 14.161 0.013
 710.74 14.129 0.014
 714.65 14.360 0.015
 714.65 14.373 0.016
 715.65 14.430 0.013
 715.66 14.406 0.014
 717.66 14.559 0.012
 717.67 14.558 0.014
 718.70 14.641 0.014
 718.71 14.654 0.014
 724.61 15.202 0.017
 724.62 15.200 0.022
 731.68 15.611 0.019
 731.68 15.633 0.023
 776.58 17.918 0.145
 721.64 14.961 0.024
 721.65 14.937 0.024
 743.62 16.319 0.025
 743.62 16.315 0.025
 750.65 16.699 0.027
 750.66 16.646 0.027
 756.65 17.005 0.029
 756.66 16.937 0.030
 773.60 17.716 0.049
 773.60 17.756 0.053
 784.53 18.260 0.089
 784.53 18.254 0.084
 786.53 18.171 0.049
 786.55 18.283 0.058
