SN	RA	DEC	Host	Morph	zhelio	Ref	DiscG	DiscI
2005gj	03:01:11.95	-00:33:13.9	SDSS J030111.99-003313.5	cdots	0.0616	CBET 247	SDSS-II	
2005hc	01:56:47.94	-00:12:49.4	MCG +00-06-003	cdots	0.0459	CBET 259	SDSS-II	
2005hj	01:26:48.27	-01:14:16.8	SDSS J012648.45-011417.3	cdots	0.0574	CBET 266	ROTSE-III	
2005hk	00:27:50.87	-01:14:16.8	UGC 272	SAB(s)d?	0.0130	IAUC 8625	SDSS-II/LOSS	
2005iq	23:58:32.50	-18:42:33.0	MCG -03-01-008	Sa	0.0340	IAUC 8628	LOSS	
2005ir	01:16:43.76	+00:47:40.4	SDSS J011643.87+004736.9	cdots	0.0763	CBET 277	SDSS-II	
2005kc	22:34:07.34	+05:34:06.3	NGC 7311	Sab	0.0151	IAUC 8629	Puckett	
2005ke	03:35:04.35	-24:56:38.8	NGC 1371	(R')SAB(r'l)a	0.0049	IAUC 8630	LOSS	
2005ki	10:40:28.22	+09:12:08.4	NGC 3332	(R)SA0	0.0192	IAUC 8632	LOSS	
2005ku	22:59:42.61	+00:00:49.3	2MASX J2259426500	cdots	0.0454	CBET 304	SDSS-II	
2005lu	02:36:03.71	-17:15:50.0	ESO 545-G038	S.../Irr?	0.0320	IAUC 8645	LOSS	
2005mc	08:27:06.36	+21:38:45.6	UGC 04414	S0a	0.0252	CBET 331	THCA	
2005na	07:01:36.62	+14:07:59.7	UGC 3634	SB(r)a	0.0263	CBET 350	Puckett	
2006D	12:52:33.94	-09:46:30.8	MCG -01-33-34	SAB(s)ab pec? HII	0.0085	CBET 362	BRASS	
2006X	12:22:53.99	+15:48:33.1	NGC 4321	SAB(s)bc	0.0052	IAUC 8667	Suzuki/CROSS	
2006ax	11:24:03.46	-12:17:29.2	NGC 3663	SA(rs)bc pec	0.0167	CBET 435	LOSS	
2006bd	11:38:28.46	+20:31:34.4	UGC 6609	E	0.0257	CBET 448	Puckett	
2006bh	22:40:16.10	-66:29:06.3	NGC 7329	SB(r)b	0.0109	CBET 457	Monard	
2006br	13:30:01.80	+13:24:56.8	NGC 5185	Sb	0.0246	CBET 482	Puckett	
2006bt	15:56:30.53	+20:02:45.3	CGCG 108-013^d	SA0/a	0.0322	CBET 485	LOSS	
2006dd	03:22:41.62	-37:12:13.0	NGC 1316 (Fornax A)	SAB0^0(s) pec	0.0059	IAUC 8723	Monard	
2006ef	02:04:19.51	-08:43:42.2	NGC 809	(R)S0	0.0179	CBET 597	LOSS	
2006ej	00:38:59.77	-09:00:56.6	NGC 191A	S0 pec sp	0.0205	CBET 603	LOSS	
2006eq	21:28:37.13	+01:13:41.5	2MASX J21283758+0113490	cdots	0.0495	CBET 611	SDSS-II	
2006et	00:42:45.82	-23:33:30.4	NGC 232	SB(r)a? pec	0.0226	CBET 616	Itagaki	
2006ev	21:30:59.26	+13:59:21.2	UGC 11758	Sbc	0.0287	IAUC 8747	Ory	
2006fw	01:47:10.34	-00:08:49.2	GALEXASC J014710.29-000848.3	cdots	0.0835	CBET 627	SDSS-II	
2006gj	03:17:35.80	-01:41:30.2	UGC 2650	Sab	0.0284	CBET 631	Puckett	
2006gt	00:56:17.30	-01:37:46.0	2MASX J00561810-0137327	cdots	0.0448	CBET 641	ROTSE-III	
2006hb	05:02:01.28	-21:07:55.1	MCG-041234	E?	0.0153	CBET 649	LOSS	
2006hx	01:13:57.31	+00:22:18.0	2MASX J01135716+0022	S0	0.0455	CBET 656	SDSS-II	
2006is	05:17:34.37	-23:46:54.2	GALEXASC J051734.53-234659.1	cdots	0.0310	CBET 659	LOSS	
2006kf	03:41:50.48	+08:09:25.0	UGC 2829	S0	0.0213	CBET 686	LOSS	
2006lu	09:15:17.63	-25:36:00.3	2MASX J09151727-2536001	cdots	0.0534	IAUC 8770	LOSS	
2006mr	03:22:43.04	-37:12:29.6	NGC 1316 (Fornax A)	SAB	0.0059	CBET 723	Monard	
2006ob	01:51:48.11	+00:15:48.3	UGC 1333	Sb	0.0592	CBET 745	LOSS/SDSS-II	
2006os	02:55:01.10	+16:00:34.8	UGC 2384	S	0.0328	IAUC 8779	ROTSE-III/LOSS	
2006ot	02:15:04.84	-20:45:58.2	ESO 544G31	Sa	0.0531	IAUC 8779	Puckett/LOSS	
2006py	22:41:42.05	-00:08:12.9	SDSS J224142.04-000812.9	cdots	0.0579	CBET 762	SDSS-II	
2007A	00:25:16.66	+12:53:12.5	NGC 105	Sab	0.0177	CBET 795	Puckett/LOSS	
2007N	12:49:01.25	-09:27:10.2	MCG 0133012	SA(s)a	0.0129	CBET 818	LOSS	
2007S	10:00:31.26	+04:24:26.2	UGC 5378	Sb	0.0139	CBET 825	Puckett	
2007af	14:22:21.03	-00:23:37.6	NGC 5584	SAB(rs)cd	0.0055	CBET 863	Itagaki	
2007ai	16:12:53.74	-21:37:48.7	MCG 0438004	Sc	0.0317	CBET 870	LOSS	
2007al	09:59:18.48	-19:28:25.8	2MASX J09591870-1928233	cdots	0.0122	IAUC 8822	LOSS	
2007as	09:27:36.01	-80:10:39.2	ESO 18G18	SB(rs)c	0.0176	CBET 888	Tengra-II	
2007ax	08:22:43.26	+22:33:16.9	NGC 2577	S0	0.0069	CBET 904	Arbour/Itagaki	
2007ba	15:16:42.63	+07:23:47.8	UGC 9798	S0/a	0.0385	CBET 911	LOSS	
2007bc	11:19:14.57	+20:48:32.5	UGC 6332	(R)SBa	0.0208	CBET 913	LOSS	
2007bd	08:31:33.28	-01:11:58.0	UGC 4455	SB(r)a	0.0309	CBET 914	LOSS	
2007bm	11:25:02.30	-09:47:53.8	NGC 3672	SA(s)c	0.0062	CBET 936	Perth	
2007ca	13:31:05.81	-15:06:06.6	MCG 023461	Sc pec sp	0.0141	CBET 945	LOSS	
2007cg	13:25:33.58	-24:39:08.1	ESO 508-G75	Sc	0.0332	IAUC 8843	LOSS	
2007hj	23:01:47.89	+15:35:11.4	NGC 7461	SB0	0.0141	IAUC 8874	LOSS	
2007hx	02:06:27.08	-00:53:58.3	SDSS J020627.93005353.1	cdots	0.0794	CBET 1057	SDSS-II	
2007if	01:10:51.37	+15:27:39.9	SNF 20070825-001 HOST	cdots	0.0742	CBET 1059	ROTSE-IIIb/SN Factory	
2007jd	02:59:53.37	+01:09:38.6	SDSS J025953.65+010936.1	cdots	0.0726	CBET 1076	SDSS-II	
2007jg	03:29:50.82	+00:03:24.6	SDSS J032950.83+000316.0	cdots	0.0371	CBET 1076	SDSS-II	
2007jh	03:36:01.54	+01:06:12.2	CGCG 391014	cdots	0.0408	CBET 1076	SDSS-II	
2007le	23:38:48.41	-06:31:21.3	NGC 7721	SA(s)c	0.0067	CBET 1100	Monard	
2007mm	01:05:46.67	-00:45:31.8	ambiguous^f	cdots	0.0664	CBET 1102	SDSS-II	
2007nq	00:57:33.57	-01:23:19.0	UGC 595	E	0.0450	CBET 1106	ROTSE-IIIb	
2007ol	01:37:23.70	-00:18:43.2	2MASX J01372378-0018422	cdots	0.0559	CBET 1117	SDSS-II	
2007on	03:38:50.90	-35:34:30.0	NGC 1404	E1	0.0065	CBET 1121	TAROT	
2007so	02:47:43.13	+13:15:14.8	NGC 1109	compact	0.0297	CBET 1168	LOSS	
2007sr	12:01:52.80	-18:58:21.7	NGC 4038 (The Antennae)	SB(s)m pec	0.0055	CBET 1172	CSS	
2007st	01:48:42.47	-48:38:57.8	NGC 692	(R')SB(r)bc?	0.0212	CBET 1177	Monard	
2007ux	10:09:19.98	+14:59:32.8	2MASX J10091969+1459268	cdots	0.0309	CBET 1187	LOSS	
2008C	06:57:11.53	+20:26:13.7	UGC 3611	S0/a	0.0166	CBET 1195	Puckett	
2008J	02:34:24.20	-10:50:38.5	MCG -02-7-33	SBbc?	0.0159	CBET 1211	LOSS	
2008O	06:57:34.46	-45:48:44.3	ESO 256-G11	SA0^0(s)?	0.0389	CBET 1220	CHASE	
2008R	03:03:53.70	-11:59:39.4	NGC 1200	SA(s)0	0.0135	CBET 1230	Itagaki	
2008ae	09:56:03.20	+10:29:58.8	IC 577	S?	0.0300	CBET 1247	Sostero/Puckett	
2008ar	12:24:37.92	+10:50:17.4	IC 3284	Sab	0.0261	CBET 1273	ROTSE-III	
2008bc	09:38:31.23	-63:58:25.6	KK 1524	S	0.0151	CBET 1301	CHASE	
2008bd	10:18:23.32	-13:06:11.2	MCG -02-26-42	(R')SAB^-(s)?	0.0301	CBET 1301	CHASE	
2008bf	12:04:02.90	+20:14:42.6	ambiguous^f	E?	0.0235	CBET 1307	LOSS	
2008bi	08:35:53.39	+00:42:23.1	NGC 2618	(R')SA(rs)ab	0.0134	CBET 1312	CHASE	
2008bq	06:41:02.51	-38:02:19.0	ESO 308G25	Sa	0.0340	CBET 1328	Tengra-II	
2008bt	10:50:16.88	-12:06:32.0	NGC 3404	SBab? edge-on	0.0154	CBET 1336	LOSS/Itagaki	
2008bz	12:38:57.74	+11:07:46.2	2MASX J12385810+1107502	cdots	0.0603	CBET 1353	ROTSE-III	
2008cc	21:03:29.62	-67:11:01.1	ESO 107-G4	E1?	0.0104	CBET 1356	CHASE	
2008cd	13:15:01.75	-15:57:06.8	NGC 5038	S0? edge-on	0.0074	CBET 1360	LOSS	
2008cf	14:07:32.56	-26:33:06.6	J140732.38-263305.6	cdots	0.0460	CBET 1365	LOSS	
2008ff	20:13:59.96	-44:21:07.8	ambiguous^f	cdots	0.0193	CBET 1488	Tan	
2008fl	19:36:44.84	-37:33:04.5	NGC 6805	E1	0.0199	CBET 1498	CHASE	
2008fp	07:16:32.60	-29:19:31.8	ESO 428G014	SAB(r)0 pec	0.0057	CBET 1506	CHASE	
2008fr	01:11:49.14	+14:38:27.0	SDSS J011149.19+143826.5	cdots	0.0397	CBET 1513	ROTSE-III	
2008fu	03:02:28.50	-24:27:21.5	ESO 480-IG21	cdots	0.0520	CBET 1517	LOSS	
2008fw	10:28:55.97	-44:39:55.6	NGC 3261	SB(rs)b	0.0085	CBET 1521	Monard	
2008gg	01:25:23.04	-18:10:20.8	NGC 539	SB(rs)c	0.0320	CBET 1538	CSS	
2008gl	01:20:54.82	+04:48:19.1	UGC 881	E	0.0340	CBET 1545	CHASE	
2008go	22:10:44.83	-20:47:17.2	2MASX J22104396-2047256	cdots	0.0623	CBET 1553	LOSS	
2008gp	03:23:00.73	+01:21:42.8	MCG +00-9-74	(R)SAB(r)a	0.0334	CBET 1555	LOSS	
2008ha	23:38:27.52	+18:13:35.4	UGC 12682	Im	0.0046	CBET 1567	Puckett	
2008hj	00:04:01.91	-11:10:07.5	MCG -02-1-14	SB(rs)c?	0.0379	CBET 1579	Puckett	
2008hu	08:09:14.76	-18:39:13.1	ESO 561-G18	Sc	0.0497	CBET 1600	LOSS	
2008hv	09:07:34.06	+03:23:32.1	NGC 2765	S0	0.0126	CBET 1601	CHASE	
2008ia	08:50:35.15	-61:16:40.6	ESO 125-G 006	S0	0.0219	CBET 1612	CHASE	
2009D	03:54:22.83	-19:10:54.2	MCG -03-10-52	Sb	0.0250	CBET 1647	LOSS	
2009F	04:59:23.56	-11:07:50.1	NGC 1725	S0	0.0130	CBET 1650	CHASE	
2009I	02:45:10.40	-04:42:49.4	NGC 1080	SAB(s)c?	0.0262	CBET 1660	CHASE	
2009J	05:55:21.13	-76:55:20.8	IC 2160	(R')SB(s)c pec?	0.0158	CBET 1661	CHASE	
2009P	11:20:38.78	-03:32:46.3	CGCG 011-065	cdots	0.0251	CBET 1674	Puckett	
2009Y	14:42:23.85	-17:14:48.4	NGC 5728	SAB(r)a?	0.0094	CBET 1684	Perth/LOSS	
2009aa	11:23:42.28	-22:16:14.5	ESO 570-G20	Sc	0.0273	CBET 1685	LOSS	
2009ab	04:16:36.39	+02:45:51.0	UGC 2998	SB(rs)b	0.0112	CBET 1690	LOSS	
2009ad	05:03:33.38	+06:39:35.7	UGC 3236	Sbc	0.0284	CBET 1694	Puckett	
2009ag	07:11:40.81	-26:41:06.3	ESO 492-2	SAB(rs)b pec	0.0086	CBET 1698	Puckett	
2009al	10:51:22.07	+08:34:42.7	NGC 3425^f	S0	0.0221	CBET 1705	CSS	
2009cz	09:15:00.02	+29:44:07.1	NGC 2789	S0/a	0.0211	CBET 1759	LOSS	
2009dc	15:51:12.12	+25:42:28.0	UGC 10064	S0	0.0214	CBET 1762	Puckett	
2009ds	11:49:04.11	-09:43:44.9	NGC 3905	SB(rs)c	0.0193	CBET 1784	Itagaki	
2009le	02:09:17.14	-23:24:44.8	ESO 478-6	Sbc	0.0178	CBET 2022	CHASE	
2010ae	07:15:54.65	-57:20:36.9	ESO 162-17	SB? pec edge-on	0.0037	CBET 2184	CHASE	
#Notes.
#^a Host-galaxy morphology and heliocentric redshift are from the NASA/IPAC Extragalactic Database (NED) or SDSS unless otherwise indicated.
#^b References/URLs: CHASE (http://www.das.uchile.cl/proyectoCHASE/); CSS (http://www.lpl.arizona.edu/css/); LOSS (Filippenko et al. 2001; Filippenko 2005; Leaman et al. 2011); Perth (Williams 1997); ROTSE-III (Quimby 2006); Puckett (http://www.cometwatch.com); Tenagra-II (http://www.tenagraobservatories.com/); SDSS-II (Frieman et al. 2008).
#^c Host-galaxy redshift of SN 2005gj from Prieto et al. (2007). Note that Aldering et al. (2006) give z = 0.0667.
#^d Most likely host according to Foley et al. (2010b). See text for further details.
#^e The host of SN 2006is was observed with the Magellan Baade Telescope and IMACS; the hosts of SN 2006lu and SN 2008fr were observed with the du Pont 2.5 m and WFCCD. Emission/absorption lines for radial velocity determination were weighted according to their equivalent widths.
#^f Ambiguous host. See text for further details.
