# Created by M.D. Woods -- 2024-12-06 11:19:40.351810 -- NUM TARGETS: 121
# Avg. 'EBVhost': 0.21336363636363637 +/- 0.022016528925619838
# Avg. 'st': 0.875603305785124 +/- 0.014057851239669423
objname, z, z_cmb, origin, st, st_err, Tmax, Tmax_err, EBVhost, EBVhost_err
SN2007ai, 0.03164, 0.031987, DR3, 1.229, 0.012, 54172.92, 0.2, 0.288, 0.044
SN2007al, 0.012113, 0.013263, DR3, 0.335, 0.022, 54170.24, 0.57, 0.03, 0.025
SN2007as, 0.01756, 0.017897, DR3, 0.884, 0.005, 54181.61, 0.15, 0.137, 0.025
SN2007ax, 0.006857, 0.007637, DR3, 0.354, 0.011, 54187.93, 0.17, 0.081, 0.031
SN2007ba, 0.038487, 0.039053, DR3, 0.542, 0.006, 54197.57, 0.13, 0.194, 0.017
SN2007bc, 0.020757, 0.02185, DR3, 0.876, 0.006, 54200.22, 0.15, 0.125, 0.011
SN2007bd, 0.030997, 0.031827, DR3, 0.882, 0.005, 54206.80, 0.11, 0.081, 0.013
SN2007bm, 0.006207, 0.00744, DR3, 0.899, 0.008, 54224.63, 0.22, 0.546, 0.017
SN2007ca, 0.014057, 0.01507, DR3, 1.058, 0.007, 54227.38, 0.06, 0.376, 0.017
SN2007cg, 0.033173, 0.034168, DR3, 1.108, 0.046, 54227.38, 0.5, 0.769, 0.045
SN2007hj, 0.014103, 0.012882, DR3, 0.605, 0.004, 54349.81, 0.07, 0.128, 0.021
SN2007hx, 0.07976, 0.078873, DR3, 1.059, 0.044, 54353.59, 0.88, 0.309, 0.033
SN2007jd, 0.072583, 0.071911, DR3, 0.875, 0.033, 54361.90, 0.97, 0.138, 0.036
SN2007jg, 0.037107, 0.036577, DR3, 0.914, 0.006, 54366.48, 0.09, 0.124, 0.019
SN2007jh, 0.040767, 0.040267, DR3, 0.584, 0.019, 54366.33, 0.2, 0.222, 0.029
SN2007le, 0.006717, 0.005523, DR3, 1.024, 0.004, 54399.07, 0.1, 0.415, 0.012
SN2007mm, 0.066354, 0.068873, DR3, 0.501, 0.018, 54392.26, 0.16, 0.225, 0.031
SN2007nq, 0.045, 0.043903, DR3, 0.745, 0.005, 54398.94, 0.15, 0.066, 0.011
SN2007ol, 0.05587, 0.054882, DR3, 0.696, 0.035, 54412.86, 0.19, 0.008, 0.01
SN2007on, 0.00649, 0.006183, DR3, 0.574, 0.004, 54419.78, 0.5, 0.004, 0.005
SN2007so, 0.029667, 0.028929, DR3, 0.85, 0.008, 54428.02, 0.52, 0.147, 0.024
SN2007sr, 0.005473, 0.006656, DR3, 0.989, 0.017, 54448.51, 0.53, 0.21, 0.027
SN2007st, 0.021167, 0.020651, DR3, 0.774, 0.022, 54454.45, 0.7, 0.168, 0.027
SN2007ux, 0.030893, 0.031996, DR3, 0.586, 0.006, 54466.93, 0.07, 0.105, 0.015
SN2008C, 0.01661, 0.017067, DR3, 0.953, 0.025, 54465.87, 0.37, 0.26, 0.034
SN2008O, 0.03883, 0.039318, DR3, 0.654, 0.012, 54491.75, 0.58, 0.327, 0.023
SN2008R, 0.013493, 0.012887, DR3, 0.593, 0.005, 54494.64, 0.51, 0.031, 0.016
SN2008ar, 0.02613, 0.027247, DR3, 0.971, 0.006, 54534.61, 0.12, 0.125, 0.013
SN2008bc, 0.015077, 0.015707, DR3, 1.048, 0.004, 54549.57, 0.03, 0.033, 0.024
SN2008bd, 0.030083, 0.03128, DR3, 0.415, 0.011, 54531.21, 0.48, 0.064, 0.028
SN2008bf, 0.023484, 0.024554, DR3, 1.022, 0.004, 54554.65, 0.03, 0.047, 0.012
SN2008bi, 0.013437, 0.014388, DR3, 0.48, 0.026, 54543.28, 0.9, 0.249, 0.048
SN2008bq, 0.033977, 0.034443, DR3, 1.155, 0.009, 54562.46, 0.53, 0.173, 0.021
SN2008bt, 0.015353, 0.01658, DR3, 0.47, 0.009, 54572.30, 0.14, 0.202, 0.021
SN2008bz, 0.060237, 0.061326, DR3, 0.93, 0.022, 54578.93, 0.25, 0.026, 0.019
SN2008cc, 0.010387, 0.010122, DR3, 0.788, 0.017, 54572.99, 0.19, 0.128, 0.022
SN2008cd, 0.007407, 0.008462, DR3, 1.012, 0.08, 54578.89, 1.09, 1.927, 0.076
SN2008cf, 0.045968, 0.046827, DR3, 1.117, 0.035, 54594.67, 0.68, 0.033, 0.021
SN2008ff, 0.019193, 0.018673, DR3, 1.117, 0.01, 54704.22, 0.17, 0.179, 0.017
SN2008fl, 0.0199, 0.019417, DR3, 0.855, 0.018, 54720.77, 0.61, 0.142, 0.03
SN2008fp, 0.00566, 0.006287, DR3, 1.082, 0.007, 54730.22, 0.04, 0.545, 0.035
SN2008fr, 0.038973, 0.037906, DR3, 1.056, 0.023, 54732.67, 0.24, 0.043, 0.024
SN2008fu, 0.05237, 0.051834, DR3, 0.822, 0.022, 54732.55, 0.39, 0.031, 0.019
SN2008fw, 0.008543, 0.009507, DR3, 1.113, 0.023, 54731.75, 0.17, 0.14, 0.026
SN2008gg, 0.031993, 0.031066, DR3, 1.114, 0.027, 54749.22, 0.6, 0.202, 0.03
SN2008gl, 0.033993, 0.032946, DR3, 0.851, 0.004, 54768.15, 0.05, 0.108, 0.011
SN2008go, 0.062367, 0.061313, DR3, 0.912, 0.023, 54766.09, 0.18, 0.126, 0.013
SN2008gp, 0.03339, 0.032823, DR3, 0.973, 0.005, 54778.99, 0.04, 0.044, 0.02
SN2008hj, 0.037867, 0.036722, DR3, 1.01, 0.006, 54801.49, 0.5, 0.093, 0.012
SN2008hu, 0.049666, 0.050526, DR3, 0.785, 0.008, 54806.52, 0.17, 0.06, 0.02
SN2008hv, 0.01254, 0.01358, DR3, 0.846, 0.003, 54817.06, 0.09, 0.034, 0.011
SN2008ia, 0.021983, 0.02254, DR3, 0.841, 0.004, 54813.01, 0.13, 0.069, 0.023
SN2009D, 0.02499, 0.024654, DR3, 1.185, 0.006, 54840.79, 0.5, 0.088, 0.014
SN2009F, 0.012947, 0.01291, DR3, 0.328, 0.007, 54842.05, 0.54, 0.251, 0.027
SN2009I, 0.02615, 0.025431, DR3, 1.064, 0.019, 54851.90, 0.13, 0.794, 0.015
SN2009P, 0.025087, 0.02632, DR3, 1.093, 0.03, 54868.40, 0.28, 0.475, 0.019
SN2009Y, 0.009347, 0.010103, DR3, 1.189, 0.008, 54876.07, 0.07, 0.217, 0.022
SN2009aa, 0.02729, 0.028481, DR3, 0.908, 0.004, 54878.23, 0.03, 0.1, 0.012
SN2009ab, 0.011163, 0.010862, DR3, 0.874, 0.005, 54883.26, 0.04, 0.132, 0.025
SN2009ad, 0.02838, 0.028317, DR3, 1.015, 0.006, 54886.27, 0.04, 0.102, 0.019
SN2009ag, 0.008633, 0.009248, DR3, 0.962, 0.007, 54889.54, 0.12, 0.298, 0.041
SN2009al, 0.02209, 0.023276, DR3, 1.174, 0.041, 54893.35, 0.78, 0.249, 0.031
SN2009cz, 0.021123, 0.021979, DR3, 1.189, 0.012, 54943.14, 0.07, 0.128, 0.012
SN2009ds, 0.019247, 0.020466, DR3, 1.125, 0.02, 54961.05, 0.55, 0.204, 0.014
SN2009le, 0.017773, 0.017027, DR3, 1.156, 0.021, 55165.94, 0.1, 0.235, 0.01
